Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCLTECH,EQ,20-Mar-20,413.45,413.5,461.95,411.85,444.7,444.9,441.91,11916337,5265991519,199014,7002639,58.77
HCLTECH,EQ,23-Mar-20,444.9,415,444,400.45,425,417.15,415.77,9525670,3960473954,111898,6474510,67.97
HCLTECH,EQ,24-Mar-20,417.15,413,458.85,411.85,449,442.05,442.27,9915954,4385560837,142298,6044388,60.96
HCLTECH,EQ,25-Mar-20,442.05,432,468,417.75,436,457.6,445.12,11976272,5330864586,109934,8694881,72.6
HCLTECH,EQ,26-Mar-20,457.6,461.1,466.75,441.1,445.7,447.7,451.39,9504717,4290299456,113214,6559488,69.01
HCLTECH,EQ,27-Mar-20,447.7,450.25,457.45,420.5,434,430.65,431.25,9151132,3946409121,145850,5896317,64.43
HCLTECH,EQ,30-Mar-20,430.65,410,438.65,410,424,419,426.61,6325701,2698581019,114637,3625106,57.31
HCLTECH,EQ,31-Mar-20,419,433.2,449.4,425.3,433,436.4,439.08,6381824,2802104923,118664,4308600,67.51
HCLTECH,EQ,1-Apr-20,436.4,433,433.2,408.2,414.65,413.55,421.79,8136746,3431993955,112951,5298743,65.12
HCLTECH,EQ,3-Apr-20,413.55,418.9,428.6,399.3,409.85,405.8,415.48,8166456,3393014502,157013,4330439,53.03
HCLTECH,EQ,7-Apr-20,405.8,425,457.95,425,456,451.15,443.19,5972948,2647166163,120075,3101333,51.92
HCLTECH,EQ,8-Apr-20,451.15,451,476.8,449,466.25,463.1,467.34,7991062,3734513998,111912,4502299,56.34
HCLTECH,EQ,9-Apr-20,463.1,480.7,481,462,470,469.05,469.6,5069246,2380516357,85608,3071039,60.58
HCLTECH,EQ,13-Apr-20,469.05,470,471,454,461,458.25,458.64,2236731,1025850219,54865,1046353,46.78
HCLTECH,EQ,15-Apr-20,458.25,470,482,462.7,481.2,478.75,473.04,6333192,2995860466,124242,3809593,60.15
HCLTECH,EQ,16-Apr-20,478.75,473,476,456.7,459.8,459.75,464.99,10484847,4875303123,225515,6289179,59.98
HCLTECH,EQ,17-Apr-20,459.75,470,475,453.65,457,455.25,460.6,4706460,2167802342,119829,2243641,47.67
HCLTECH,EQ,20-Apr-20,455.25,458,473.6,453.5,469.9,470,467.39,4801120,2243978571,115539,2034232,42.37
HCLTECH,EQ,21-Apr-20,470,458,464.95,447.85,455.05,455.7,455.24,3405204,1550199473,60418,1831035,53.77
HCLTECH,EQ,22-Apr-20,455.7,453,469.45,450,463.5,462.4,461.49,3768051,1738902050,71852,1690529,44.86
HCLTECH,EQ,23-Apr-20,462.4,465,480.75,462.4,480,477.7,473.72,3054988,1447212593,61297,1315670,43.07
HCLTECH,EQ,24-Apr-20,477.7,480,496.9,465.15,468.1,468.1,479.58,6738441,3231611939,104786,1679809,24.93
HCLTECH,EQ,27-Apr-20,468.1,473.1,485.7,467.25,484,483.1,478.49,2914600,1394616386,66778,1260373,43.24
HCLTECH,EQ,28-Apr-20,483.1,489,489,469.45,474.25,471.1,473.89,4262239,2019852356,58064,2063716,48.42
HCLTECH,EQ,29-Apr-20,471.1,474.8,501,470.2,495,491.75,481.7,3849156,1854120925,74523,1876703,48.76
HCLTECH,EQ,30-Apr-20,491.75,506.5,565.5,501,545,543.55,527.51,8035698,4238930038,142686,2693252,33.52
HCLTECH,EQ,4-May-20,543.55,527.5,527.5,508.2,514.9,514.25,513.96,7032553,3614482821,143067,3993112,56.78
HCLTECH,EQ,5-May-20,514.25,526,529.9,515.65,521.3,520.4,522.08,4592833,2397806447,93760,2238007,48.73
HCLTECH,EQ,6-May-20,520.4,512.2,526.7,506.2,521,519.1,517.81,6921536,3584016692,144546,3515933,50.8
HCLTECH,EQ,7-May-20,519.1,530,541.8,507.55,510.5,511.75,523.24,19998942,10464165769,292085,3467020,17.34
HCLTECH,EQ,8-May-20,511.75,520.85,522.5,502.4,519,518.4,515,10120968,5212261619,161781,2793646,27.6
HCLTECH,EQ,11-May-20,518.4,526,534.9,521.2,527,527.55,530.01,4425560,2345605222,103083,1598921,36.13
HCLTECH,EQ,12-May-20,527.55,525.45,540,520,527.3,527.4,531.14,6440027,3420566836,123687,2135490,33.16
HCLTECH,EQ,13-May-20,527.4,539.85,539.85,521.55,527,528.75,530.41,3503019,1858036338,65175,1055370,30.13
